﻿Format,Metric,Year,Value,Category
CD,Units,1973,,Physical
CD,Units,1974,,Physical
CD,Units,1975,,Physical
CD,Units,1976,,Physical
CD,Units,1977,,Physical
CD,Units,1978,,Physical
CD,Units,1979,,Physical
CD,Units,1980,,Physical
CD,Units,1981,,Physical
CD,Units,1982,,Physical
CD Single,Units,1973,,Physical
CD Single,Units,1974,,Physical
CD Single,Units,1975,,Physical
CD Single,Units,1976,,Physical
CD Single,Units,1977,,Physical
CD Single,Units,1978,,Physical
CD Single,Units,1979,,Physical
CD Single,Units,1980,,Physical
CD Single,Units,1981,,Physical
CD Single,Units,1982,,Physical
CD Single,Units,1983,,Physical
CD Single,Units,1984,,Physical
CD Single,Units,1985,,Physical
CD Single,Units,1986,,Physical
CD Single,Units,1987,,Physical
Cassette,Units,2012,,Physical
Cassette,Units,2013,,Physical
Cassette,Units,2014,,Physical
Cassette,Units,2015,,Physical
Cassette,Units,2016,,Physical
Cassette,Units,2017,,Physical
Cassette,Units,2018,,Physical
Cassette,Units,2019,,Physical
Cassette Single,Units,1973,,Physical
Cassette Single,Units,1974,,Physical
Cassette Single,Units,1975,,Physical
Cassette Single,Units,1976,,Physical
Cassette Single,Units,1977,,Physical
Cassette Single,Units,1978,,Physical
Cassette Single,Units,1979,,Physical
Cassette Single,Units,1980,,Physical
Cassette Single,Units,1981,,Physical
Cassette Single,Units,1982,,Physical
Cassette Single,Units,1983,,Physical
Cassette Single,Units,1984,,Physical
Cassette Single,Units,1985,,Physical
Cassette Single,Units,1986,,Physical
Cassette Single,Units,2012,,Physical
Cassette Single,Units,2013,,Physical
Cassette Single,Units,2014,,Physical
Cassette Single,Units,2015,,Physical
Cassette Single,Units,2016,,Physical
Cassette Single,Units,2017,,Physical
Cassette Single,Units,2018,,Physical
Cassette Single,Units,2019,,Physical
8 - Track,Units,2012,,Physical
8 - Track,Units,2013,,Physical
8 - Track,Units,2014,,Physical
8 - Track,Units,2015,,Physical
8 - Track,Units,2016,,Physical
8 - Track,Units,2017,,Physical
8 - Track,Units,2018,,Physical
8 - Track,Units,2019,,Physical
Other Tapes,Units,2012,,Physical
Other Tapes,Units,2013,,Physical
Other Tapes,Units,2014,,Physical
Other Tapes,Units,2015,,Physical
Other Tapes,Units,2016,,Physical
Other Tapes,Units,2017,,Physical
Other Tapes,Units,2018,,Physical
Other Tapes,Units,2019,,Physical
Music Video (Physical),Units,1973,,Physical
Music Video (Physical),Units,1974,,Physical
Music Video (Physical),Units,1975,,Physical
Music Video (Physical),Units,1976,,Physical
Music Video (Physical),Units,1977,,Physical
Music Video (Physical),Units,1978,,Physical
Music Video (Physical),Units,1979,,Physical
Music Video (Physical),Units,1980,,Physical
Music Video (Physical),Units,1981,,Physical
Music Video (Physical),Units,1982,,Physical
Music Video (Physical),Units,1983,,Physical
Music Video (Physical),Units,1984,,Physical
Music Video (Physical),Units,1985,,Physical
Music Video (Physical),Units,1986,,Physical
Music Video (Physical),Units,1987,,Physical
Music Video (Physical),Units,1988,,Physical
DVD Audio,Units,1973,,Physical
DVD Audio,Units,1974,,Physical
DVD Audio,Units,1975,,Physical
